epoch_number,total_time,device,max_epoch,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,precision,recall,accuracy,f1,energy
1,9.168,gpu,10,256,pytorch,CIFAR10,resnet50,109.911,35.9,2011.3,42.8,20.2,0.254,0.244,0.242,0.233,1007.664
1,10.265,gpu,10,256,pytorch,CIFAR100,resnet50,107.721,35.455,2070.727,39.545,18.636,0.046,0.04,0.041,0.031,1105.756
1,10.854,gpu,10,256,pytorch,CIFAR10,resnet50,99.722,35.727,1545.455,32.636,15.273,0.25,0.249,0.248,0.241,1082.383
1,11.024,gpu,10,256,pytorch,CIFAR100,resnet50,96.36,35.545,1533.273,33.545,15.636,0.033,0.035,0.035,0.027,1062.273
1,13.833,gpu,10,128,pytorch,CIFAR100,resnet50,103.392,33.857,1710.857,36.357,14.143,0.06,0.065,0.065,0.048,1430.222
1,13.863,gpu,10,128,pytorch,CIFAR10,resnet50,102.438,34.571,1648.286,32.214,12.571,0.335,0.32,0.319,0.305,1420.098
1,15.113,gpu,10,128,pytorch,CIFAR100,resnet50,97.809,34.25,1521.5,33.0,13.25,0.073,0.066,0.068,0.054,1478.187
1,15.325,gpu,10,128,pytorch,CIFAR10,resnet50,102.856,33.938,1708.25,34.625,14.188,0.326,0.309,0.311,0.291,1576.268
1,15.394,gpu,10,256,pytorch,CIFAR10,resnet101,122.929,37.75,2342.25,48.25,22.625,0.241,0.235,0.235,0.227,1892.369
1,15.853,gpu,10,256,pytorch,CIFAR100,resnet101,128.131,37.812,2347.5,48.375,22.562,0.027,0.024,0.025,0.02,2031.261
1,16.292,gpu,10,256,pytorch,SVHN,resnet50,98.495,34.412,1626.882,34.471,17.059,0.128,0.119,0.178,0.095,1604.681
1,16.524,gpu,10,256,pytorch,CIFAR100,resnet101,126.738,38.588,2247.176,44.706,20.588,0.034,0.031,0.032,0.024,2094.219
1,17.065,gpu,10,256,pytorch,CIFAR10,resnet101,116.722,38.471,2203.529,45.647,21.0,0.239,0.229,0.229,0.206,1991.861
1,19.032,gpu,10,64,pytorch,CIFAR100,resnet50,101.475,33.579,1782.263,40.474,15.737,0.094,0.087,0.087,0.065,1931.272
1,19.211,gpu,10,256,pytorch,CIFAR100,resnet152,153.308,40.7,2845.6,55.55,25.45,0.04,0.04,0.039,0.028,2945.2
